Generation,Recommend
Gen Z,Yes
Gen Z,Yes
Gen Z,Yes
Gen Z,Yes
Gen Z,Yes
Gen Z,No
Gen Z,No
Gen Z,No
Gen Z,No
Gen Z,No
Gen Z,No
Gen Z,No
Gen Z,No
Gen Z,No
Gen Z,No
Gen X,Yes
Millennial,Yes
Millennial,Yes
Millennial,Yes
Millennial,Yes
Millennial,Yes
Millennial,Yes
Millennial,Yes
Millennial,Yes
Millennial,Yes
Millennial,Yes
Millennial,Yes
Millennial,Yes
Millennial,Yes
Millennial,Yes
Millennial,Yes
Millennial,Yes
Gen X,Yes
Gen X,Yes
Gen X,Yes
Gen X,No
Gen X,No
Gen X,No
Gen X,No
Gen X,No